Дата;Номер;Название ФЗ;Ссылка
05.4.2013;№44-ФЗ;О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд;https://fssp.gov.ru/storage/77cd70cd-ba78-4085-83e9-f8d447fb3b6e/00№pa2024/prikaz_fssp_44.pdf
19.7.2011;№246-ФЗ;Об искусственных земельных участках, созданных на водных объектах, находящихся в федеральной собственности, и о внесении изменений в отдельные законодательные акты Российской Федерации;https://voda.gov.ru/upload/iblock/aac/Iskustve№№yy-zemel№yy-uchastok.pdf
27.12.2009;№ 365-ФЗ;О внесении изменений в отдельные законодательные акты Российской Федерации в связи с совершенствованием деятельности органов государственной власти субъектов Российской Федерации и органов местного самоуправления;https://disk.ya№dex.ru/i/G№-jteX№x6_HWg
24.7.2009;№ 209-ФЗ;Об охоте и о сохранении охотничьих ресурсов и о внесении изменений в отдельные законодательные акты Российской Федерации;https://disk.ya№dex.ru/i/№_bjvZ24ZstT_g
23.7.2008;№ 160-ФЗ;О внесении изменений в отдельные законодательные акты Российской Федерации в связи с совершенствованием осуществления полномочий Правительства Российской Федерации;https://disk.ya№dex.ru/i/77kpM7COo9G8yQ
25.12.2008;№ 273-ФЗ;О противодействии коррупции;https://disk.ya№dex.ru/i/VjOCWJL-th3Z-g
27.5.2003;№ 58-ФЗ;О системе государственной службы Российской Федерации;https://voda.gov.ru/regulatory/doc-2741/
27.12.2009;№ 365-ФЗ;О внесении изменений в отдельные законодательные акты Российской Федерации в связи с совершенствованием деятельности органов государственной власти субъектов Российской Федерации и органов местного самоуправления;https://voda.gov.ru/regulatory/doc-2751/
24.7.2009;№ 209-ФЗ;Об охоте и о сохранении охотничьих ресурсов и о внесении изменений в отдельные законодательные акты Российской Федерации;https://voda.gov.ru/regulatory/doc-2752/
23.7.2008;№ 160-ФЗ;О внесении изменений в отдельные законодательные акты Российской Федерации в связи с совершенствованием осуществления полномочий Правительства Российской Федерации;https://voda.gov.ru/regulatory/doc-2753/
17.7.2009;№ 172-ФЗ;Об антикоррупционной экспертизе нормативных правовых актов и проектов нормативных правовых актов;https://voda.gov.ru/regulatory/doc-2745/
21.7.1997;№ 117-ФЗ;О безопасности гидротехнических сооружений;https://voda.gov.ru/regulatory/doc-2747/
27.7.2004;№ 79-ФЗ;О государственной гражданской службе Российской Федерации;https://voda.gov.ru/regulatory/doc-2748/
02.5.2006;№59-ФЗ;О порядке рассмотрения обращений граждан Российской Федерации;https://voda.gov.ru/regulatory/doc-2749/
03.6.2006;№ 74-ФЗ;Водный кодекс Российской Федерации;https://voda.gov.ru/regulatory/doc-2754/
14.7.2008;№ 118-ФЗ;О внесении изменений в Водный кодекс Российской Федерации и отдельные законодательные акты Российской Федерации;https://voda.gov.ru/regulatory/doc-2755/
03.6.2006;№73-ФЗ;О введении в действие Водного кодекса РФ;https://voda.gov.ru/regulatory/doc-2756/
